podcastID,post_total_episodes_analyzed,post_total_guests,post_urm_guests,post_female_guests,post_avg_ep_pct_female,post_avg_ep_pct_urm,post_overall_pct_urm,post_overall_pct_female
03c2ff68534a4f7b9ba15fa9e997e980,1,1,0,0,0.0,0.0,0.0,0.0
03c5850ee17f44ccb69e8becb16732e5,2,2,0,2,100.0,0.0,0.0,100.0
03d7466c45a843958b2e369a0963329c,2,2,0,2,100.0,0.0,0.0,100.0
03eea9fb9606447a8ea02c995cbdf69b,10,7,0,6,85.71428571428571,0.0,0.0,85.71428571428571
03f66f2f3fea4d4fbcb2485cec6b6feb,2,2,0,1,50.0,0.0,0.0,50.0
041fce0685604a6788ff19ea8c36056e,60,63,1,17,25.833333333333332,1.6666666666666667,1.5873015873015872,26.984126984126984
042baf25c6cf418e9096ed3861bc950d,23,25,0,22,87.77777777777777,0.0,0.0,88.0
04352adc37f44f74b6637de3ce8fda48,16,16,0,0,0.0,0.0,0.0,0.0
0439bfe7bf714776b6dc366a47e70aa3,24,24,0,9,37.5,0.0,0.0,37.5
045800f278b543e1800b9ec62a345f01,17,30,5,20,77.47252747252747,8.974358974358974,16.666666666666664,66.66666666666666
045d2b6e6644489f9cebff43b1b6b0ea,7,11,1,2,11.904761904761903,7.142857142857143,9.090909090909092,18.181818181818183
046ace9dbb454fe5a9c9375e4ca4286d,5,3,0,2,66.66666666666667,0.0,0.0,66.66666666666666
049270c4692e4e479abc9691ba657d6b,9,2,0,0,0.0,0.0,0.0,0.0
049da4483efe4167b288e4d28831aa98,22,7,0,2,33.333333333333336,0.0,0.0,28.57142857142857
04a9d68ec1544ca78f88178b01547e7e,3,3,1,2,66.66666666666667,33.333333333333336,33.33333333333333,66.66666666666666
04c2d0b1c861456785ea866f60e45819,25,29,2,6,19.333333333333332,6.0,6.896551724137931,20.689655172413794
04c31802d0e8485e8ae1588fbad3ae66,2,2,1,2,100.0,50.0,50.0,100.0
04cdf54f3a464e04989d7569af24544f,32,38,0,28,84.04761904761904,0.0,0.0,73.68421052631578
04d197de150d4238a363d5a2f86fd4fc,12,14,0,13,95.83333333333333,0.0,0.0,92.85714285714286
04df68afc89645809246898ee01fca08,1,2,0,2,100.0,0.0,0.0,100.0
04f1c027cb1f436287ee76a8c5eae27a,2,3,1,2,75.0,25.0,33.33333333333333,66.66666666666666
04f408ec83db4b28b3b230d6e8249fb8,11,6,0,2,33.333333333333336,0.0,0.0,33.33333333333333
04f9c5ea50a6437d87ceb347ae76105d,3,1,1,0,0.0,100.0,100.0,0.0
04fab561b2664114b1ff142f1d7934fa,2,1,0,1,100.0,0.0,0.0,100.0
04fdceed305a4320918185c652d79653,2,3,0,0,0.0,0.0,0.0,0.0
04ff56c8ec1f4c55963beba22b3aeace,10,12,0,4,40.0,0.0,0.0,33.33333333333333
0508517e30734812b75f7b12158e12c2,10,6,0,0,0.0,0.0,0.0,0.0
050c85bbc2764ccf8a7efa45caa382b2,10,10,1,1,12.5,12.5,10.0,10.0
0510e9626a87431a8dc2a64956540dae,10,10,0,6,60.0,0.0,0.0,60.0
051f6e15b78c47e58ec1d110b1298c7c,2,0,0,0,0.0,0.0,0.0,0.0
052542776bb84768a2cd633af8aa44a6,3,3,0,1,33.333333333333336,0.0,0.0,33.33333333333333
0532c6625ba24582bacbe3c6574421d9,1,0,0,0,0.0,0.0,0.0,0.0
053b6f9ad49046d8a3103a037ca00fdf,10,16,0,4,20.0,0.0,0.0,25.0
053db26149974781bdb30d9442bd0ab0,8,9,0,1,7.142857142857143,0.0,0.0,11.11111111111111
054b80338dfb4a22a212496e60384e41,6,6,0,6,100.0,0.0,0.0,100.0
058a449ac4374a97b7668dbb7dcb6cc2,27,29,2,3,11.538461538461538,7.6923076923076925,6.896551724137931,10.344827586206897
05abcc8173264432a6bcf647c4747d62,19,23,0,1,5.2631578947368425,0.0,0.0,4.3478260869565215
05ac28fd5b7a479fbe8c84f6dea8209c,3,1,1,0,0.0,100.0,100.0,0.0
05b34b41a9a54acf8ff8958acdccefeb,5,5,0,0,0.0,0.0,0.0,0.0
05dba9a952314fbea4d0c75983446cd4,1,1,0,0,0.0,0.0,0.0,0.0
05dd31d761dd4dea892d8b6b687efa8a,12,15,2,8,54.166666666666664,16.666666666666668,13.333333333333334,53.333333333333336
05ddc2d25e044b939e18b584eba3058f,11,0,0,0,0.0,0.0,0.0,0.0
05e5276767794a50a4eec8fd071952da,46,41,1,21,54.861111111111114,2.7777777777777777,2.4390243902439024,51.21951219512195
05f944b3d2624e4ba653b6d2380f2886,2,1,1,0,0.0,100.0,100.0,0.0
05f9f028b78449f9959ad23b8a42d107,1,1,0,0,0.0,0.0,0.0,0.0
05feb4b1cf734b9eb8d957526fa5c0a1,2,2,0,0,0.0,0.0,0.0,0.0
060780ac055d4079b5340db1048b8d03,1,1,0,0,0.0,0.0,0.0,0.0
06164ac02ca74f4c9d33959df233730f,12,19,0,5,33.333333333333336,0.0,0.0,26.31578947368421
061f6c25db2f444399c98efe3846f93b,6,6,0,4,66.66666666666667,0.0,0.0,66.66666666666666
063cf3929b3c441c9c7b0036615aa763,3,3,0,1,33.333333333333336,0.0,0.0,33.33333333333333
06404e8c7b554a83b371b9f503e10142,6,12,0,0,0.0,0.0,0.0,0.0
064098ae76d34b2a8ae0d640ca125f59,11,12,0,5,40.90909090909091,0.0,0.0,41.66666666666667
0669f6acdf854637ac0e50a9968e4dc4,1,2,0,0,0.0,0.0,0.0,0.0
068c58c2c605443d99de313f9dd816dd,1,1,0,0,0.0,0.0,0.0,0.0
06afb589ad364030baffe689beacdbff,3,6,0,1,16.666666666666668,0.0,0.0,16.666666666666664
06cc93c678634e7cb274988247664fd7,8,3,0,0,0.0,0.0,0.0,0.0
06d0e787d47740f78c1ee6832304e615,2,3,0,3,100.0,0.0,0.0,100.0
06e07b4349a646c1b372dfcd748f4597,11,1,0,0,0.0,0.0,0.0,0.0
06e694b45d07486f8ed1fe2cf3d8f58f,23,24,1,3,13.043478260869565,4.3478260869565215,4.166666666666666,12.5
06f2c05c8ddd4d7ab5607f3eb66c984b,11,12,0,12,100.0,0.0,0.0,100.0
071e7cf77df94c1b9bf77fa8ce708d64,10,14,0,11,79.62962962962962,0.0,0.0,78.57142857142857
072b1abb679643598e52a0ae5a96c9c9,10,3,0,1,33.333333333333336,0.0,0.0,33.33333333333333
072fbbe10a0746f4878e9319d47fed3d,6,6,0,6,100.0,0.0,0.0,100.0
07435b79a625419badccfa79ca3b2879,11,10,1,0,0.0,10.0,10.0,0.0
07441a648d134149a2eccfa1b31667b2,1,1,0,1,100.0,0.0,0.0,100.0
0744669e38af43578525be540c061e05,1,1,1,1,100.0,100.0,100.0,100.0
075a4303f50b48528b8194130a35f35e,3,4,2,3,83.33333333333333,50.0,50.0,75.0
077ebbad6fec4cb5accc13154fd8e6ce,5,14,0,2,13.333333333333332,0.0,0.0,14.285714285714285
079843693dc140c0bd39640b56db1de6,45,32,0,4,13.888888888888888,0.0,0.0,12.5
07bf132b74df4109aad2221b7cade8bd,3,6,2,0,0.0,33.333333333333336,33.33333333333333,0.0
07bf672496e347cfa22244d0186356a0,19,19,0,3,16.666666666666668,0.0,0.0,15.789473684210526
07d019948f114ce198d1d2038a37cf1f,15,19,0,1,3.5714285714285716,0.0,0.0,5.263157894736842
07d7dc84d50549bba4f276f788a389e4,5,5,0,2,40.0,0.0,0.0,40.0
07e8f09e610e4f3984500fc553f0a4fd,10,11,0,6,55.0,0.0,0.0,54.54545454545454
0802466c79714f3291f5dd9fcda77452,1,1,0,1,100.0,0.0,0.0,100.0
080948b088e14adeb547c396d76cee38,4,4,0,0,0.0,0.0,0.0,0.0
080f7207ea494e6781d2f8024aee9835,1,1,0,1,100.0,0.0,0.0,100.0
0824a9ef4f0d4c56b791c42d34bebe10,10,5,0,5,100.0,0.0,0.0,100.0
0832ab480eb045a8b5e1f5ef2ac1e707,5,2,0,0,0.0,0.0,0.0,0.0
0834a6f82c23409aa2b29193c82ba6e0,8,9,0,1,12.5,0.0,0.0,11.11111111111111
08352d151ad94599a55110a39a803882,11,6,0,6,100.0,0.0,0.0,100.0
083dbecaf23e45d79e83c015f70b9db4,69,53,1,8,16.3265306122449,1.0204081632653061,1.8867924528301887,15.09433962264151
08567f797c2a433cb5761f7e23185632,1,0,0,0,0.0,0.0,0.0,0.0
085fc255c705418a9e869429ad18e9fd,11,11,0,8,72.72727272727273,0.0,0.0,72.72727272727273
086661702b91454c802d226a8f81c183,3,5,0,3,66.66666666666667,0.0,0.0,60.0
0895974e1e674a5a86f76de38e67e2b8,9,9,1,6,66.66666666666667,11.11111111111111,11.11111111111111,66.66666666666666
089890eda81c4242a167ae7880531af4,2,2,2,2,100.0,100.0,100.0,100.0
08a74ad08f654cc1b5e1d568e6303000,15,36,0,7,14.761904761904761,0.0,0.0,19.444444444444446
08ad654737144f9284bc5e3e0e1cfb58,7,10,0,3,32.142857142857146,0.0,0.0,30.0
08b18ba6ff52420795e1b630f907b28a,2,1,0,1,100.0,0.0,0.0,100.0
08c7a2c3944841afaae58a29712ca17f,10,6,0,0,0.0,0.0,0.0,0.0
08c9ff403f884b138955b1b15c96382f,3,3,0,0,0.0,0.0,0.0,0.0
08ca815d76604fee8965c65a5071a406,21,20,5,4,21.05263157894737,23.68421052631579,25.0,20.0
0905135c973b456f93f61ea6242ffb4a,10,10,0,1,10.0,0.0,0.0,10.0
090cba2e8ace4916a2ead970b975685f,11,11,0,5,50.0,0.0,0.0,45.45454545454545
092022e1add24591adc836a3b3bf93c0,9,10,1,2,16.666666666666668,5.555555555555555,10.0,20.0
0929c4cbba06426fb3e8cfad7be14908,9,14,1,8,48.148148148148145,2.7777777777777777,7.142857142857142,57.14285714285714
09443030509c4d09988d604a65f8b85e,3,4,0,2,50.0,0.0,0.0,50.0
094f1f1f4a6848da92c498bad370208e,10,5,0,4,87.5,0.0,0.0,80.0
0954a4b8bf204a3ba107eb4ce37ce38e,3,3,0,2,66.66666666666667,0.0,0.0,66.66666666666666
096d69d6611e4762a2d6fdc610aa945a,2,2,0,1,50.0,0.0,0.0,50.0
0972a8be670b46f49de596c86e9fb4e5,24,24,0,2,8.333333333333334,0.0,0.0,8.333333333333332
0975b02dd784444c93a159a01786cead,6,5,0,3,62.5,0.0,0.0,60.0
0980c9afd2224e24a3093e987dc8a07c,12,5,0,1,12.5,0.0,0.0,20.0
09858f7094774e30a27fbc7f8d7472bb,6,6,5,4,66.66666666666667,83.33333333333333,83.33333333333334,66.66666666666666
09998ad5a6e544038e24ee3a1cc8b0af,5,6,0,3,40.0,0.0,0.0,50.0
0999fd10f5574b348055f4c1000ab051,13,11,0,0,0.0,0.0,0.0,0.0
09b4aa7c61874915aa28090edc8992c2,1,1,1,1,100.0,100.0,100.0,100.0
09d03313a610493c8c602c0fa115bcdc,9,0,0,0,0.0,0.0,0.0,0.0
09f6a18f27fd432d9c5f8ca11ad1a584,4,2,0,2,100.0,0.0,0.0,100.0
09fce2d1fadf4f7aaa3fa96de61d2d69,24,17,0,13,78.125,0.0,0.0,76.47058823529412
0a081a13774a44fe8d41e782b5fa7911,9,7,0,6,85.71428571428571,0.0,0.0,85.71428571428571
0a1f7c1526564af48d378d2be5da2dbd,3,3,2,1,33.333333333333336,66.66666666666667,66.66666666666666,33.33333333333333
0a3cdd53800d463186c1fe7f7c9ea35e,10,8,0,3,28.571428571428573,0.0,0.0,37.5
0a41dab37f6e41c5abe0904b4a6eb19d,3,3,0,0,0.0,0.0,0.0,0.0
0a4d7521f0944c7db366519872d8a442,12,15,0,0,0.0,0.0,0.0,0.0
0a5e0860a2bb44a3a64da1e3e1524ccf,6,8,0,5,66.66666666666667,0.0,0.0,62.5
0a6138e8e3cb4f4d8adb206369584c6a,24,26,1,1,5.882352941176471,2.9411764705882355,3.8461538461538463,3.8461538461538463
0a679b2c8d1e4b6c859a75335a7e3eee,1,1,0,0,0.0,0.0,0.0,0.0
0a7476665ae94313874e35bc14452ad2,11,12,1,1,4.545454545454546,9.090909090909092,8.333333333333332,8.333333333333332
0a89a98f712a4d699251b03e36423095,4,3,1,3,100.0,33.333333333333336,33.33333333333333,100.0
0a9b1210d2ed49788b372057d7b589ab,6,7,1,6,83.33333333333333,16.666666666666668,14.285714285714285,85.71428571428571
0a9f55173e8648528288728af610e992,11,6,0,1,16.666666666666668,0.0,0.0,16.666666666666664
0aad9d597c6a494d85aada0d2db8361e,3,5,0,1,16.666666666666668,0.0,0.0,20.0
0abcd5426f7740208f57599ee43afa03,7,15,1,4,11.428571428571429,2.857142857142857,6.666666666666667,26.666666666666668
0accbebb63fa483bbcb38c9d0c717491,4,5,0,1,12.5,0.0,0.0,20.0
0ad85c15ace34e798b2adcd9026ecdd3,5,5,1,2,44.444444444444436,33.333333333333336,20.0,40.0
0adc838629864235aed9fa95b856b4ee,20,27,0,6,19.791666666666664,0.0,0.0,22.22222222222222
0ae7f59a954a4e0998f42a4802beead9,6,7,0,0,0.0,0.0,0.0,0.0
0ae9aafd3cff46c29f790c0ca10143e8,4,3,0,0,0.0,0.0,0.0,0.0
0af70eaca69c44df89101a5542d76afe,13,16,0,7,39.74358974358974,0.0,0.0,43.75
0b07c92f0ce44e62b1be4fa5296ea127,4,5,0,0,0.0,0.0,0.0,0.0
0b2ec4b8fe3d4b979017a2e3cebcbfb6,12,12,0,2,16.666666666666668,0.0,0.0,16.666666666666664
